id,nombre_actual,nombre_comercial,categoria_nueva,subcategoria,precio_costo,precio_publico,stock,activo,url
414,Bandera 90-60 sublimable,Bandera 90-60 sublimable,EMPRESAS Y EVENTOS,Eventos,69.0,172.5,1,True,https://disershop.com.uy/emprendedores/sublimables/textiles/bandera-90-60-sublimable
1967,Bandera Auto Frente,Bandera Auto Frente,EMPRESAS Y EVENTOS,Eventos,,,0,False,https://disershop.com.uy/reventa/banderas/políticas/bandera-auto-frente
419,Bandera Cuba Poliester 150-90,Bandera Cuba Poliester 150-90,EMPRESAS Y EVENTOS,Eventos,199.0,497.5,0,True,https://disershop.com.uy/cibermayorista-en-disershop/otros/bandera-cuba-poliester-150-90
420,Bandera De Auto Sublimable (SU-BANDAUTO),Bandera De Auto Sublimable (SU-BANDAUTO),EMPRESAS Y EVENTOS,Eventos,19.0,47.5,1,True,https://disershop.com.uy/sublimacion-todo/textiles/varios/bandera-de-auto-sublimable
421,Bandera Diversidad Poliester 150-90 (BI-POL150-DIVER),Bandera Diversidad Poliester 150-90 (BI-POL150-DIVER),EMPRESAS Y EVENTOS,Eventos,80.0,200.0,1,True,https://disershop.com.uy/reventa/banderas/mundo/bandera-diversidad-poliester-150-90
1968,Bandera Doritos 1.40x2.80,Bandera Doritos 1.40x2.80,EMPRESAS Y EVENTOS,Eventos,,,0,False,https://disershop.com.uy/bandera-doritos-1-40x2-80
422,Bandera España 150-90 (BI-POL150-ESP),Bandera España 150-90 (BI-POL150-ESP),EMPRESAS Y EVENTOS,Eventos,199.0,497.5,1,True,https://disershop.com.uy/reventa/banderas/mundo/bandera-españa-150-90
423,Bandera Francia 150-90 (BI-POL150-FRA),Bandera Francia 150-90 (BI-POL150-FRA),EMPRESAS Y EVENTOS,Eventos,199.0,497.5,0,True,https://disershop.com.uy/reventa/banderas/mundo/bandera-francia-150-90
424,Bandera Frente Amplio Poliester 150-90,Bandera Frente Amplio Poliester 150-90,EMPRESAS Y EVENTOS,Eventos,99.0,247.5,1,True,https://disershop.com.uy/reventa/banderas/políticas/bandera-frente-amplio-poliester-150-90
425,Bandera Gran Bretaña 150-90 (BI-POL150-GRBR),Bandera Gran Bretaña 150-90 (BI-POL150-GRBR),EMPRESAS Y EVENTOS,Eventos,199.0,497.5,1,True,https://disershop.com.uy/reventa/banderas/mundo/bandera-gran-bretaña-150-90
426,Bandera Israel 150-90 (BI-POL150-ISR),Bandera Israel 150-90 (BI-POL150-ISR),EMPRESAS Y EVENTOS,Eventos,199.0,497.5,1,True,https://disershop.com.uy/reventa/banderas/mundo/bandera-israel-150-90
427,Bandera Italia 150-90 (BI-POL150-ITALI),Bandera Italia 150-90 (BI-POL150-ITALI),EMPRESAS Y EVENTOS,Eventos,199.0,497.5,0,True,https://disershop.com.uy/reventa/banderas/mundo/bandera-italia-150-90
1969,Bandera Lays 1.40x2.80,Bandera Lays 1.40x2.80,EMPRESAS Y EVENTOS,Eventos,,,0,False,https://disershop.com.uy/bandera-lays-1-40x2-80
1971,Bandera Lubricantes Texaco,Bandera Lubricantes Texaco,EMPRESAS Y EVENTOS,Eventos,,,0,False,https://disershop.com.uy/index.php?route=product/product&product_id=19107
428,Bandera Mexico 150-90 (BI-POL150-MEX),Bandera Mexico 150-90 (BI-POL150-MEX),EMPRESAS Y EVENTOS,Eventos,199.0,497.5,1,True,https://disershop.com.uy/reventa/banderas/mundo/bandera-mexico-150-90
434,Bandera Usa 150-90 (BI-POL150-USA),Bandera Usa 150-90 (BI-POL150-USA),EMPRESAS Y EVENTOS,Eventos,199.0,497.5,1,True,https://disershop.com.uy/reventa/banderas/mundo/bandera-usa-150-90
1976,Bandera Viva 1.20x2.40 modelo 1,Bandera Viva 1.20x2.40 modelo 1,EMPRESAS Y EVENTOS,Eventos,,,0,False,https://disershop.com.uy/index.php?route=product/product&product_id=19018
1977,Bandera Viva 1.20x2.40 modelo 2,Bandera Viva 1.20x2.40 modelo 2,EMPRESAS Y EVENTOS,Eventos,,,0,False,https://disershop.com.uy/index.php?route=product/product&product_id=19104
1978,Bandera acodike 2.8x1.3,Bandera acodike 2.8x1.3,EMPRESAS Y EVENTOS,Eventos,,,0,False,https://disershop.com.uy/bandera-acodike-2-8x1-3
1984,Bandera auto vamos pedro m1,Bandera auto vamos pedro m1,EMPRESAS Y EVENTOS,Eventos,,,0,False,https://disershop.com.uy/bandera-auto-vamos-pedro-m1
1985,Bandera auto vamos pedro m2,Bandera auto vamos pedro m2,EMPRESAS Y EVENTOS,Eventos,,,0,False,https://disershop.com.uy/bandera-auto-vamos-pedro-m2
436,Bandera frente amplio franjas 150-90,Bandera frente amplio franjas 150-90,EMPRESAS Y EVENTOS,Eventos,99.0,247.5,1,True,https://disershop.com.uy/reventa/banderas/políticas/bandera-frente-amplio-franjas-150-90
1987,Bandera frente amplio tejida 150-90,Bandera frente amplio tejida 150-90,EMPRESAS Y EVENTOS,Eventos,,,0,False,https://disershop.com.uy/bandera-frente-amplio-tejida-150-90
1998,Bandera vamos pedro m1,Bandera vamos pedro m1,EMPRESAS Y EVENTOS,Eventos,,,0,False,https://disershop.com.uy/bandera-vamos-pedro-m1
1999,Bandera vamos pedro m2,Bandera vamos pedro m2,EMPRESAS Y EVENTOS,Eventos,,,0,False,https://disershop.com.uy/bandera-vamos-pedro-m2
2000,Bandera vamos pedro m3,Bandera vamos pedro m3,EMPRESAS Y EVENTOS,Eventos,,,0,False,https://disershop.com.uy/index.php?route=product/product&product_id=20541
